,user_id
590,11256
667,11401
668,11403
670,11408
1062,12506
1225,12704
1261,12746
1262,12747
1264,12749
1265,12750
1266,12751
1267,12754
1268,12755
1269,12756
1283,12770
1284,12771
1421,12929
1422,12930
1423,12931
1424,12932
1425,12934
1444,12954
1445,12957
1446,12959
3326,15341
3381,15410
3386,15415
4344,16833
6478,20453
6958,2603
7210,3099
7222,3131
7223,3133
7224,3138
7225,3139
7226,3144
7227,3151
7228,3153
7229,3154
7230,3155
7231,3156
7232,3160
7233,3161
7234,3168
7235,3169
7236,3170
7240,3181
7242,3191
7243,3192
7244,3194
7247,3208
7250,3212
7252,3215
7254,3220
7255,3221
7258,3224
7262,3231
7264,3235
7267,3241
7268,3245
7269,3247
7270,3248
7271,3249
7272,3252
7273,3254
7274,3256
7275,3257
7276,3258
7277,3259
7278,3260
7279,3261
7280,3262
7281,3263
7282,3264
7283,3266
7284,3269
7285,3270
7286,3272
7287,3273
7288,3275
7289,3278
7290,3283
7291,3284
7292,3285
7293,3286
7294,3289
7295,3290
7296,3292
7297,3294
7298,3296
7299,3297
7300,3298
7301,3300
7302,3301
7303,3303
7304,3305
7305,3307
7306,3308
7307,3315
7308,3318
7309,3322
7310,3323
7311,3324
7312,3328
7313,3329
7314,3334
7315,3336
7316,3337
7317,3339
7318,3340
7319,3342
7320,3343
7321,3344
7322,3345
7323,3346
7324,3347
7325,3348
7326,3351
7327,3352
7331,3360
7397,3516
7407,3535
7410,3541
7411,3542
7414,3548
7417,3554
7418,3556
7420,3562
7421,3563
7424,3569
7426,3573
7427,3574
7429,3585
7430,3589
7431,3592
7432,3595
7433,3596
7434,3597
7435,3598
7436,3599
7438,3603
7439,3604
7441,3606
7442,3607
7443,3608
7444,3609
7446,3617
7448,3623
7450,3627
7454,3632
7455,3633
7457,3639
7459,3643
7460,3645
7463,3653
7464,3655
7465,3656
7466,3659
7467,3660
7468,3661
7469,3665
7470,3666
7471,3667
7472,3669
7473,3670
7474,3671
7475,3675
7476,3676
7477,3677
7478,3678
7479,3681
7480,3682
7481,3683
7482,3686
7483,3687
7484,3688
7485,3689
7486,3691
7487,3693
7488,3695
7489,3699
7490,3700
7491,3704
7492,3706
7493,3709
7494,3710
7495,3711
7496,3717
7497,3721
7498,3723
7499,3725
7500,3726
7501,3728
7502,3729
7503,3732
7504,3734
7505,3738
7506,3739
7507,3741
7508,3742
7509,3744
7510,3748
7511,3749
7512,3750
7513,3752
7514,3753
7515,3754
7516,3755
7517,3756
7518,3758
7519,3759
7529,3775
7532,3785
7533,3786
7534,3787
7536,3793
7537,3796
7539,3798
7540,3800
7548,3817
7549,3819
7552,3824
7553,3825
7554,3826
7555,3827
7556,3830
7557,3833
7558,3834
7559,3837
