user_id,ts_date,id,full_path,selfie_link_id,selfie_link_id_1,selfie_link_id_2,selfie_link_id_3,missing_count,selfie_exists
8751,2020-05-14,1453776,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-14/8751/1589433151959-selfie_2020-05-14T05-11-57.694Z.jpg,8751_2020-05-14 05:00:00,8751_2020-05-08 21:00:00,8751_2020-05-14 21:00:00,,1,False
5821,2020-05-14,1453264,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-14/5821/1589429620924-selfie_2020-05-14T06-13-33.371Z.jpg,5821_2020-05-14 04:00:00,5821_2020-05-12 04:00:00,5821_2020-05-14 04:00:00,,1,False
7346,2020-05-15,1462934,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-15/7346/1589580538245-selfie_2020-05-15T22-08-41.538Z.jpg,7346_2020-05-15 22:00:00,7346_2020-05-09 21:00:00,7346_2020-05-15 05:00:00,,1,False
8696,2020-05-15,1462678,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-15/8696/1589577703873-selfie_2020-05-15T23-21-15.018Z.jpg,8696_2020-05-15 21:00:00,8696_2020-05-08 21:00:00,8696_2020-05-15 21:00:00,,1,False
2374,2020-05-17,1470732,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-17/2374/1589710210242-selfie_2020-05-17T12-09-59.318Z.jpg,2374_2020-05-17 10:00:00,2374_2020-05-08 21:00:00,2374_2020-05-17 10:00:00,,1,False
3225,2020-05-19,1479964,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-19/3225/1589851252733-selfie_2020-05-19T08-20-41.132Z.jpg,3225_2020-05-19 01:00:00,3225_2020-05-19 01:00:00,3225_2020-05-19 15:00:00,,1,False
6494,2020-05-20,1488698,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-20/6494/1589987281512-selfie_2020-05-20T17-07-55.596Z.jpg,6494_2020-05-20 15:00:00,6494_2020-05-09 19:00:00,6494_2020-05-20 15:00:00,,1,False
3808,2020-05-20,1485972,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-20/3808/1589944616719-selfie_2020-05-20T10-16-47.868Z.jpg,3808_2020-05-20 03:00:00,3808_2020-05-14 18:00:00,3808_2020-05-20 03:00:00,,1,False
6857,2020-05-20,1488061,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-20/6857/1589971174411-selfie_2020-05-20T12-39-24.298Z.jpg,6857_2020-05-20 10:00:00,6857_2020-05-20 10:00:00,6857_2020-05-21 18:00:00,,1,False
6070,2020-05-21,1495134,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-21/6070/1590093294086-selfie_2020-05-21T20-34-49.550Z.jpg,6070_2020-05-21 20:00:00,6070_2020-05-17 21:00:00,6070_2020-05-21 20:00:00,,1,False
2149,2020-05-21,1495077,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-21/2149/1590092898065-selfie_2020-05-21T20-28-11.548Z.jpg,2149_2020-05-21 20:00:00,2149_2020-05-09 20:00:00,2149_2020-05-21 20:00:00,,1,False
1839,2020-05-25,1513515,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-25/1839/1590389895687-selfie_2020-05-25T08-58-04.270Z.jpg,1839_2020-05-25 06:00:00,1839_2020-05-19 06:00:00,1839_2020-05-25 06:00:00,,1,False
4774,2020-05-25,1512910,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-25/4774/1590384008438-selfie_2020-05-25T07-20-06.176Z.jpg,4774_2020-05-25 05:00:00,4774_2020-05-10 06:00:00,4774_2020-05-25 05:00:00,,1,False
6784,2020-05-26,1519459,https://claire1kstorage.blob.core.windows.net/selfies/2020-05-26/6784/1590481637421-selfie_2020-05-26T08-27-14.618Z.jpg,6784_2020-05-26 08:00:00,6784_2020-05-13 18:00:00,6784_2020-05-26 08:00:00,,1,False
